case_id,question,category,group,verdict,score,severity,labels,reason,suggested_fix,critic_status,critic_used_llm,pipeline_mode,pipeline_route,pipeline_intent,pipeline_elapsed_sec,pipeline_validation_ok,llm_call_count,answer
RG-SF-001,ราคา PC ต่อชั่วโมงเท่าไหร่,service_fee,service_fee,pass,1.0,none,,no failure detected by available checks,,deterministic_only,False,pipeline:deterministic_calculator_fast,service_fee/service_fee_query,service_fee/price_calculate,1.132,True,0,"ราคา PC 1 ชั่วโมง (1 คน)
•    PSU Student and Staff: 0 บาท
•    PSU Alumni and General Student / นักศึกษาหรือนักเรียนต่างสถาบัน: 25 บาท
•    General Adult / บุคคลทั่วไป: 70 บาท
หมายเหตุข้อมูล PC: ราคา PC เพิ่มจาก local service fee update 2026-07-27
แหล่งข้อมูล: https://esports.computing.psu.ac.th/wp-content/uploads/2026/01/PSU-Esports-Studio-phuket-SERVICE-FEE-2026.png"
RG-SF-002,นักศึกษา สจล อยากเล่น PC เสียเท่าไหร่,service_fee,service_fee,pass,1.0,none,,no failure detected by available checks,,deterministic_only,False,pipeline:deterministic_calculator_fast,service_fee/service_fee_query,service_fee/price_calculate,0.2214,True,0,"ราคา PC 1 ชั่วโมง สำหรับ PSU Alumni and General Student / นักศึกษาหรือนักเรียนต่างสถาบัน: 25 บาท
กลุ่มผู้ใช้ที่ตรวจเจอ: PSU Alumni and General Student / นักศึกษาหรือนักเรียนต่างสถาบัน / มหาลัยอื่น
หมายเหตุข้อมูล PC: ราคา PC เพิ่มจาก local service fee update 2026-07-27
แหล่งข้อมูล: https://esports.computing.psu.ac.th/wp-content/uploads/2026/01/PSU-Esports-Studio-phuket-SERVICE-FEE-2026.png"
RG-SF-003,เล่น PC 2 ชั่วโมง บุคคลทั่วไปกี่บาท,service_fee,service_fee,pass,1.0,none,,no failure detected by available checks,,deterministic_only,False,pipeline:deterministic_calculator_fast,service_fee/service_fee_query,service_fee/price_calculate,0.1826,True,0,"ระยะเวลาที่ถามคือ 2 ชั่วโมง ใช้ 2 session ตามแพ็กเกจ PC 1 ชั่วโมง
คำตอบราคา: 140 บาท สำหรับกลุ่ม General Adult / บุคคลทั่วไป
•    คำนวณจาก 70 บาท/session x 2 session = 140 บาท
กลุ่มผู้ใช้ที่ตรวจเจอ: General Adult / บุคคลทั่วไป

รายละเอียดจากตาราง:
PC 1 ชั่วโมง (1 คน)
•    PSU Student and Staff: 0 บาท
•    PSU Alumni and General Student: 25 บาท
•    General Adult: 70 บาท
หมายเหตุข้อมูล PC: ราคา PC เพิ่มจาก local service fee update 2026-07-27
แหล่งข้อมูล: https://esports.computing.psu.ac.th/wp-content/uploads/2026/01/PSU-Esports-Studio-phuket-SERVICE-FEE-2026.png"
RG-SF-004,ราคา PC กับ PS5 ต่างกันเท่าไหร่,service_fee,service_fee,pass,1.0,none,,no failure detected by available checks,,deterministic_only,False,pipeline:deterministic_calculator_fast,service_fee/service_fee_query,service_fee/price_calculate,0.1568,True,0,"ราคา PC 1 ชั่วโมง กับ PlayStation 5 60 นาที ต่างกันดังนี้:
•    PSU Student and Staff: ราคาเท่ากันที่ 0 บาท (PC 1 ชั่วโมง 0 บาท / PlayStation 5 60 นาที 0 บาท)
•    PSU Alumni and General Student / นักศึกษาหรือนักเรียนต่างสถาบัน: PlayStation 5 60 นาที แพงกว่า 25 บาท (PC 1 ชั่วโมง 25 บาท / PlayStation 5 60 นาที 50 บาท)
•    General Adult / บุคคลทั่วไป: PlayStation 5 60 นาที แพงกว่า 80 บาท (PC 1 ชั่วโมง 70 บาท / PlayStation 5 60 นาที 150 บาท)

รายละเอียดจากตาราง:
PC 1 ชั่วโมง (1 คน)
•    PSU Student and Staff: 0 บาท
•    PSU Alumni and General Student: 25 บาท
•    General Adult: 70 บาท
หมายเหตุข้อมูล PC: ราคา PC เพิ่มจาก local service fee update 2026-07-27

PlayStation 5 60 นาที (1 ชั่วโมง, 1-2 คน)
•    PSU Student and Staff: 0 บาท
•    PSU Alumni and General Student: 50 บาท
•    General Adult: 150 บาท
แหล่งข้อมูล: https://esports.computing.psu.ac.th/wp-content/uploads/2026/01/PSU-Esports-Studio-phuket-SERVICE-FEE-2026.png"
RG-SF-005,Tekken 8 ราคาเท่าไหร่,service_fee,service_fee,pass,1.0,none,,no failure detected by available checks,,deterministic_only,False,pipeline:structured_service_fee_by_game,service_fee/service_fee_query,service_fee/price_calculate,0.7563,True,0,"TEKKEN 8 ไม่มีราคาแยกตามชื่อเกมครับ ต้องดูราคาตามโซน/บริการที่ใช้เล่นเกมนี้

PC Zone
ยังไม่ทราบกลุ่มผู้ใช้ จึงแสดงราคาทุกกลุ่มให้เทียบก่อน
PC 1 ชั่วโมง (1 คน)
•    นักศึกษา/นักเรียน/บุคลากร PSU: 0 บาท/1 ชั่วโมง
•    ศิษย์เก่า PSU / นักศึกษา-นักเรียนต่างสถาบัน (General Student): 25 บาท/1 ชั่วโมง
•    บุคคลทั่วไป (General Adult): 70 บาท/1 ชั่วโมง
หมายเหตุข้อมูล PC: ราคา PC เพิ่มจาก local service fee update 2026-07-27
แหล่งข้อมูล: https://esports.computing.psu.ac.th/wp-content/uploads/2026/01/PSU-Esports-Studio-phuket-SERVICE-FEE-2026.png

PlayStation 5 Zone
ยังไม่ทราบกลุ่มผู้ใช้ จึงแสดงราคาทุกกลุ่มให้เทียบก่อน
PlayStation 5 1 ชั่วโมง (1-2 คน)
•    นักศึกษา/นักเรียน/บุคลากร PSU: 0 บาท/1 ชั่วโมง
•    ศิษย์เก่า PSU / นักศึกษา-นักเรียนต่างสถาบัน (General Student): 50 บาท/1 ชั่วโมง
•    บุคคลทั่วไป (General Adult): 150 บาท/1 ชั่วโมง
แหล่งข้อมูล: https://esports.computing.psu.ac.th/wp-content/uploads/2026/01/PSU-Esports-Studio-phuket-SERVICE-FEE-2026.png"
RG-SF-006,PS5 มีเกมอะไรกับราคาเท่าไหร่,service_fee,service_fee,pass,1.0,none,,no failure detected by available checks,,deterministic_only,False,pipeline:multi_question_splitter,multi_question/multi_question_split,,0.3437,True,0,"คำถามนี้มีหลายเรื่อง ขอแยกตอบเป็นข้อ ๆ:

คำถามที่ 1: PS5 มีเกมอะไร
PlayStation 5 Zone มีเกมที่ยืนยันได้ดังนี้

PlayStation 5 #01-#02 (60 นาที, 1-2 คน)
•    Call of Duty: Modern Warfare III
•    Delta Force
•    EA Sports FC 24
•    eFootball
•    FINAL FANTASY XVI
•    Fortnite
•    God of War Ragnarok
•    Hogwarts Legacy
•    Marvel's Spider-Man 2
•    NARUTO X BORUTO Ultimate Ninja Storm Connections
•    Resident Evil 4
•    Resident Evil Village
•    TEKKEN 8
•    THE FINALS
•    The Last of Us Part I
•    The Last of Us Part II (Remastered)
•    Uncharted: Legacy of Thieves Collection
หมายเหตุ: PlayStation 5 #01 และ #02 ใช้รายการเกมเดียวกัน
แหล่งข้อมูล: https://esports.computing.psu.ac.th/

คำถามที่ 2: PS5 ราคาเท่าไหร่
PlayStation 5 60 นาที (1 ชั่วโมง, 1-2 คน)
•    PSU Student and Staff: 0 บาท
•    PSU Alumni and General Student: 50 บาท
•    General Adult: 150 บาท
แหล่งข้อมูล: https://esports.computing.psu.ac.th/wp-content/uploads/2026/01/PSU-Esports-Studio-phuket-SERVICE-FEE-2026.png"
RG-GM-001,พิมพ์ Tekken 8,games,games,pass,1.0,none,,no failure detected by available checks,,deterministic_only,False,pipeline:structured_game_detail,games/game_detail_lookup,games/detail,0.311,True,0,"TEKKEN 8: TEKKEN 8 คือเกมต่อสู้แบบตัวต่อตัว ผู้เล่นเลือกตัวละครแล้วใช้คอมโบ การป้องกัน และจังหวะสวนกลับเพื่อชนะคู่แข่ง
แนวเกม: เกมต่อสู้ 1v1
วิธีเล่นโดยสรุป: เล่นเป็นรอบ เลือกตัวละคร ฝึกท่าพื้นฐาน/คอมโบ อ่านจังหวะคู่ต่อสู้ และทำให้พลังชีวิตอีกฝ่ายหมดก่อน
เล่นได้ที่: PC Zone และ PlayStation 5 Zone
แหล่งข้อมูล: https://esports.phuket.psu.ac.th/Services/our-games"
RG-GM-002,Over cook,games,games,pass,1.0,none,,no failure detected by available checks,,deterministic_only,False,pipeline:structured_games_family,games/list,games/detail,0.1703,True,0,"พบเกมที่เกี่ยวข้องกับ Overcooked ในรายการที่ยืนยันได้ครับ
•    Overcooked!: เล่นได้ที่ Nintendo Switch Zone
•    Overcooked! 2: เล่นได้ที่ Nintendo Switch Zone
แหล่งข้อมูล: https://esports.phuket.psu.ac.th/Services/our-games"
RG-GM-003,อุปกรณ์ไหนเกมเยอะสุด,games,games,pass,1.0,none,,no failure detected by available checks,,deterministic_only,False,pipeline:structured_game_zone_ranking,games/list,games/list,0.2009,True,0,"ถ้านับตามโซน/บริการที่มีรายชื่อเกมยืนยันได้ PlayStation 5 Zone และ Nintendo Switch Zone มีเกมเยอะสุดครับ (17 เกม)

จำนวนเกมตามโซน:
•    PlayStation 5 Zone: 17 เกม
•    Nintendo Switch Zone: 17 เกม
•    PC Zone: 6 เกม
•    VR Zone: 4 เกม
•    Cockpit Zone: 1 เกม
แหล่งข้อมูล: https://esports.phuket.psu.ac.th/Services/our-games"
RG-GM-004,PC Zone มีอุปกรณ์อะไรและมีเกมอะไรบ้าง,games,games,pass,1.0,none,,no failure detected by available checks,,deterministic_only,False,pipeline:multi_question_splitter,multi_question/multi_question_split,,0.386,True,0,"คำถามนี้มีหลายเรื่อง ขอแยกตอบเป็นข้อ ๆ:

คำถามที่ 1: PC Zone มีอุปกรณ์อะไร
อุปกรณ์ใน PC Zone:
PC Zone
•    Gaming PC รุ่น MSI MAG Infinite S3 14th (10 Units)
•    Gaming Monitor (10 Units)
•    Gaming Keyboard
•    Gaming Mouse
•    Gaming Headset
•    Gaming Chair (10 Units)
แหล่งข้อมูล: https://esports.phuket.psu.ac.th/home

คำถามที่ 2: PC Zone มีเกมอะไรบ้าง
PC Zone แยกรายการเกมตามเลขเครื่องดังนี้

PC #01-#02 (60 นาที, 1 คน)
•    TEKKEN 8
•    Counter-Strike 2
•    League of Legends
•    PUBG: BATTLEGROUNDS
•    VALORANT
หมายเหตุ: PC #01-#02 มี TEKKEN 8 แต่ไม่มี Call of Duty: Warzone
หมายเหตุ: PC #01-#02 และ PC #03-#10 มี Counter-Strike 2, League of Legends, PUBG: BATTLEGROUNDS, VALORANT เหมือนกัน

PC #03-#10 (60 นาที, 1 คน)
•    Call of Duty: Warzone
•    Counter-Strike 2
•    League of Legends
•    PUBG: BATTLEGROUNDS
•    VALORANT
หมายเหตุ: PC #03-#10 มี Call of Duty: Warzone แต่ไม่มี TEKKEN 8
หมายเหตุ: PC #01-#02 และ PC #03-#10 มี Counter-Strike 2, League of Legends, PUBG: BATTLEGROUNDS, VALORANT เหมือนกัน
แหล่งข้อมูล: https://esports.computing.psu.ac.th/"
